# lon lat uE uN uZ sigE sigN sigZ
80.58178359 28.75444532 -0.00104000 -0.00150000 0.00262000 0.00210700 0.00230600 0.00695600
83.76346437 28.34508887 -0.00062200 -0.00401000 -0.01350000 0.00181100 0.00242600 0.00488800
83.74329960 28.80527868 0.00432000 -0.00973000 -0.00371000 0.00163100 0.00179400 0.00411700
85.27880659 27.80072617 -0.44500000 -1.83000000 1.26000000 0.00125700 0.00231500 0.00294700
85.32772804 27.65668730 -0.31600000 -1.30000000 0.60600000 0.00178900 0.00163100 0.00703300
81.59530407 28.11717556 -0.00341000 -0.00101000 -0.00462000 0.00928800 0.00270500 0.02928700
82.98671195 28.10126019 -0.00357000 -0.00210000 -0.00235000 0.00274000 0.00348400 0.00553600
86.59706011 26.99094904 0.00716000 -0.00037300 -0.00575000 0.00259600 0.00268900 0.00693900
81.80654286 29.96938561 -0.00190000 -0.00186000 -0.00252000 0.00196600 0.00215300 0.00398200
85.79885757 27.38482843 0.04740000 -0.22300000 0.02510000 0.00174800 0.00269200 0.00343400
87.70981656 27.35224372 0.00039200 -0.00173000 -0.00604000 0.00170100 0.00270200 0.00755100
85.31408653 28.20723201 -0.22200000 -1.39000000 -0.59000000 0.00155400 0.00285900 0.00399300
86.71245900 27.81423400 -0.00397000 -0.00735000 -0.02295000 0.00684700 0.00503900 0.01186400
