# lon lat uLOS sigLOS losE losN losU
84.13625000 27.05375000 -0.05958992 0.01161300 0.73900000 -0.12437000 0.66212000
84.12792000 27.21125000 -0.05568665 0.01380844 0.74118000 -0.12437000 0.65968000
84.38292000 27.21125000 -0.06160485 0.01472912 0.72619000 -0.12334000 0.67634000
84.38458000 27.01625000 -0.07784390 0.01094900 0.72382000 -0.12330000 0.67888000
84.63792000 27.00791700 -0.09009617 0.01171693 0.70771000 -0.12202000 0.69589000
84.63792000 27.21125000 -0.06844031 0.01393545 0.71026000 -0.12208000 0.69328000
84.89292000 27.21041700 -0.08085709 0.01504294 0.69334000 -0.12058000 0.71045000
84.89292000 27.00791700 -0.10629575 0.01163228 0.69060000 -0.12045000 0.71314000
84.12792000 27.41458300 -0.00800075 0.03674241 0.74340000 -0.12433000 0.65719000
84.14042000 27.61791700 0.08950057 0.03008517 0.74482000 -0.12423000 0.65560000
84.38292000 27.61791700 0.06525792 0.03202298 0.73086000 -0.12333000 0.67129000
84.38292000 27.41458300 -0.03180325 0.03667282 0.72866000 -0.12335000 0.67368000
84.17042000 27.80458300 0.11697189 0.01308522 0.74539000 -0.12411000 0.65497000
84.20625000 27.99791700 0.11063315 0.01029176 0.74545000 -0.12393000 0.65494000
84.38292000 28.02458300 0.07252736 0.02152374 0.73554000 -0.12329000 0.66617000
84.38292000 27.82125000 0.09609692 0.01889716 0.73361000 -0.12337000 0.66827000
84.63792000 27.82125000 0.00651303 0.03583155 0.71803000 -0.12225000 0.68519000
84.63792000 28.02458300 0.02882353 0.02828704 0.72061000 -0.12230000 0.68247000
84.78208000 27.93625000 0.10497064 0.02796997 0.71045000 -0.12158000 0.69317000
84.78208000 27.96125000 0.19088345 0.03351031 0.71056000 -0.12155000 0.69305000
84.81375000 27.96125000 0.27292358 0.02832776 0.70865000 -0.12141000 0.69503000
84.81375000 27.93625000 0.17529083 0.04251424 0.70838000 -0.12142000 0.69531000
84.79792000 27.99958300 0.30169693 0.06308643 0.70990000 -0.12147000 0.69375000
84.86125000 27.99958300 0.37181586 0.01893299 0.70589000 -0.12115000 0.69789000
84.86125000 27.94875000 0.34663608 0.05295263 0.70560000 -0.12119000 0.69817000
84.79792000 28.05041700 0.29275079 0.03844140 0.71071000 -0.12150000 0.69291000
84.79792000 28.10041700 0.18445087 0.03712546 0.71157000 -0.12156000 0.69201000
84.86125000 28.10041700 0.14337244 0.05295785 0.70760000 -0.12126000 0.69613000
84.86125000 28.05041700 0.26940030 0.06664326 0.70687000 -0.12122000 0.69688000
84.90958000 28.03791700 0.17746143 0.04096055 0.70336000 -0.12092000 0.70048000
84.90958000 28.06291700 0.07622698 0.05323776 0.70389000 -0.12096000 0.69994000
84.94125000 28.06291700 -0.00813657 0.02840253 0.70206000 -0.12083000 0.70179000
84.94125000 28.03791700 0.08470401 0.03925324 0.70144000 -0.12077000 0.70242000
84.92542000 28.10041700 0.01428784 0.05731379 0.70397000 -0.12098000 0.69985000
84.98875000 28.09958300 -0.17859885 0.08305545 0.69962000 -0.12061000 0.70426000
84.97292000 28.03708300 -0.00130608 0.05601971 0.69913000 -0.12056000 0.70476000
84.97292000 28.06291700 -0.08022433 0.04363042 0.69971000 -0.12060000 0.70418000
85.00458000 28.06291700 -0.22191884 0.09075195 0.69787000 -0.12047000 0.70602000
85.00458000 28.03791700 -0.07380531 0.07743787 0.69733000 -0.12043000 0.70656000
84.92542000 27.94875000 0.40471991 0.02237979 0.70126000 -0.12082000 0.70260000
84.92542000 27.99958300 0.29929559 0.06886997 0.70176000 -0.12081000 0.70210000
84.97292000 27.98708300 0.24171292 0.04766366 0.69887000 -0.12060000 0.70501000
84.97292000 28.01208300 0.12912906 0.05786752 0.69922000 -0.12061000 0.70465000
85.00458000 28.01208300 0.08151836 0.05201453 0.69715000 -0.12045000 0.70673000
85.00458000 27.98708300 0.20593121 0.05431667 0.69697000 -0.12045000 0.70691000
84.98958000 27.94875000 0.42581470 0.03464157 0.69696000 -0.12045000 0.70692000
84.82958000 27.77041700 -0.01048709 0.01746803 0.70507000 -0.12124000 0.69870000
84.79792000 27.84708300 -0.02031050 0.01303156 0.70843000 -0.12148000 0.69525000
84.79792000 27.89791700 0.03844309 0.04475549 0.70907000 -0.12150000 0.69459000
84.84542000 27.88541700 0.11372864 0.04387965 0.70562000 -0.12122000 0.69814000
84.84542000 27.91041700 0.19326161 0.03395579 0.70596000 -0.12123000 0.69780000
84.87708000 27.91041700 0.28169904 0.04287941 0.70381000 -0.12105000 0.70000000
84.87708000 27.88541700 0.18765956 0.03969753 0.70338000 -0.12102000 0.70043000
84.86125000 27.84708300 0.02804332 0.04553570 0.70411000 -0.12112000 0.69969000
84.90958000 27.83458300 0.11469875 0.03961462 0.70078000 -0.12084000 0.70307000
84.90958000 27.85958300 0.17880247 0.03637679 0.70134000 -0.12090000 0.70250000
84.94125000 27.85958300 0.27781641 0.04075607 0.69920000 -0.12072000 0.70466000
84.94125000 27.83458300 0.22258897 0.04629096 0.69867000 -0.12065000 0.70520000
84.92542000 27.89791700 0.34231921 0.04894200 0.70060000 -0.12080000 0.70326000
84.98875000 27.89791700 0.45232083 0.03372033 0.69641000 -0.12043000 0.70747000
84.97292000 27.83458300 0.34302741 0.04735695 0.69676000 -0.12051000 0.70711000
84.97292000 27.85958300 0.38253638 0.03590544 0.69709000 -0.12053000 0.70678000
85.00458000 27.85958300 0.47993390 0.03514661 0.69467000 -0.12029000 0.70920000
85.00458000 27.83458300 0.46536035 0.05171512 0.69437000 -0.12028000 0.70950000
84.92542000 27.74541700 0.04689011 0.03942852 0.69860000 -0.12071000 0.70526000
84.92542000 27.79625000 0.13676340 0.06795988 0.69899000 -0.12069000 0.70487000
84.97292000 27.78375000 0.27722720 0.03784753 0.69587000 -0.12045000 0.70799000
84.97292000 27.80875000 0.31346903 0.04361334 0.69599000 -0.12042000 0.70788000
85.00458000 27.80875000 0.45608997 0.05359647 0.69383000 -0.12024000 0.71003000
85.00458000 27.78375000 0.39086404 0.06093460 0.69368000 -0.12026000 0.71018000
84.97292000 27.73291700 0.07160239 0.02904082 0.69568000 -0.12051000 0.70817000
84.97292000 27.75791700 0.18446225 0.06426453 0.69557000 -0.12045000 0.70829000
85.00458000 27.75791700 0.28077838 0.05145659 0.69333000 -0.12022000 0.71052000
85.00458000 27.73291700 0.15803027 0.03222693 0.69342000 -0.12031000 0.71041000
84.63792000 27.41458300 -0.06812323 0.01986551 0.71295000 -0.12214000 0.69049000
84.63792000 27.61791700 -0.00169823 0.02676261 0.71529000 -0.12218000 0.68806000
84.89292000 27.61791700 -0.02544073 0.02398471 0.69908000 -0.12085000 0.70476000
84.89292000 27.41458300 -0.06932069 0.01959396 0.69626000 -0.12073000 0.70757000
85.14875000 27.41458300 -0.04577597 0.01964839 0.67866000 -0.11906000 0.72474000
85.08458000 27.56708300 -0.01470172 0.02135528 0.68587000 -0.11973000 0.71781000
85.05292000 27.64375000 0.02270369 0.02128344 0.68917000 -0.11999000 0.71459000
85.05292000 27.69458300 0.14468405 0.05186069 0.68941000 -0.11994000 0.71437000
85.11708000 27.69458300 0.23106412 0.06873880 0.68555000 -0.11963000 0.71812000
85.11708000 27.64375000 0.08322053 0.04863543 0.68455000 -0.11954000 0.71910000
85.18125000 27.64375000 0.15328075 0.01775072 0.68018000 -0.11913000 0.72331000
85.16542000 27.68208300 0.22478433 0.05276923 0.68191000 -0.11929000 0.72164000
85.16542000 27.70708300 0.38524579 0.04862286 0.68167000 -0.11920000 0.72189000
85.19708000 27.70708300 0.45287790 0.04123442 0.67950000 -0.11899000 0.72396000
85.19708000 27.68208300 0.28261572 0.06421370 0.67949000 -0.11903000 0.72396000
85.22875000 27.68208300 0.40879413 0.06212695 0.67697000 -0.11877000 0.72636000
85.22875000 27.70708300 0.51938672 0.05574671 0.67732000 -0.11878000 0.72604000
85.26042000 27.70708300 0.58615527 0.05578218 0.67497000 -0.11856000 0.72826000
